t1234,Tracy Doe,Bank of America,"69221 Newman Rd, Portland, Oregon, United States",250
t5566,Lisa McDonald,Wells Fargo,"555 Bailey Ave, San Jose, California 95123",1000
t7666,Lonnie Leo Gomez,Bank of Texas,"1234 Airline Dr, San Diego, CA",2000
t5567,Stephen Brewster,First Bank of America,"425 Market Street, San Francisco, ca, 94105",3500.25
t1238,"Smith, Mary",J.P. Morgan,"3821 Twin Oaks Drive, Chicago, IL, 49625,United States",5000
t1239,Jen Norman,Bank of Texas,"4589 Holly Street, Athens, GA 30606,USA",230
t5823,Mary Burchfield,Bank of America,"69221 Newman Rd, Portland, Oregon, United States",1500
t9954,John Miller,First Farmers & Merchants,"1555 Kingston Ave, San Francisco, CA",200
t6271,Paul Goodman,Bank of America,"3592 Forest Avenue, New York, NY, 10010, United States",500.23
t8887,Helen Taranto,BankFirst,"1800 Century Park East, Suite 200, Los Angeles, California 90067",300
t1257,Peter Frost,First National Bank,"1234 Airline Dr, San Diego, CA",450
t4563,Zac Gregory Thompson,California Federal Bank,"4589 Holly Street, Athens, GA 30606,USA",280.88
t8763,Michael Walker,,"1463 Braxton Street,Chicago, IL",890.1
t1524,Lisa McDonald,Wells Fargo,"4075 Harley Brook Lane,Corry,PA,16407",450
t9432,Robert McGrail,First American Bank,"1463 Braxton Street, Chicago	IL, 60607",540
t4666,Scott Smith,UNITED HEALTHCARE SERVICES,"790 Woodland Terrace, Fair Oaks, CA,95628",1000
t8667,Shana Wiley,,"4589 Holly Street, Athens, GA 30606,USA",2000
t1239,Tracy Cooper,Bank of Texas,"1234 Airline Dr, San Diego, CA",2500
t4563,Michelle Walker,California Federal Bank,"69221 Newman Rd, Portland, Oregon, United States",500.59
t2222,Mia Fuller,Bank of America,"1463 Braxton Street,Chicago, IL",4900
t2223,Lisa McDonald,Wells Fargo,"3592 Forest Avenue, New York, NY, 10010, United States",5000.99
t2224,Lonnie Leo Gomez,Bank of Texas,"1463 Braxton Street,Chicago, IL",900
t2225,Stephen Brewster,First of America,"4075 Harley Brook Lane,Corry,PA,16407",600
t2226,Emily Porter,J.P. Morgan,"1463 Braxton Street, Chicago	IL, 60607",789
t2227,Jen Norman,Bank of Texas,"790 Woodland Terrace, Fair Oaks, CA,95628",9800
t2228,Mary Burchfield,Bank of America,"4589 Holly Street, Athens, GA 30606,USA",3000
t2229,Hillary Frost,First Farmers & Merchants,"1234 Airline Dr, San Diego, CA",599
t2230,Paul Ryan,Bank of America,"69221 Newman Rd, Portland, Oregon, United States",800
t2231,JC Penny,Wells Fargo,"1463 Braxton Street,Chicago, IL",450
t2232,NA,First American Bank,"1234 Airline Dr, San Diego, CA",540
t2233,Gina G Goldsmith,UNITED HEALTHCARE SERVICES,"1463 Braxton Street,Chicago, IL",1000

